#DUKE weather file,,,,,,
$state_name=North Carolina,,,,,,
$city_name=Charlotte,,,,,,
$lat_deg=35,,,,,,
$lat_min=13,,,,,,
$long_deg=-80,,,,,,
$long_min=56,,,,,,
$timezone_offset=-4,,,,,,
temperature,wind_speed,humidity,solar_dir,solar_diff,solar_global,
#month:day:hour:minute:second,,,,,,
01:01:22:37:00,51.7,10.7,38,0,0,0
01:01:22:42:00,51.5,10.6,37,0,0,0
01:01:22:47:00,51.3,10.5,36,0,0,0
01:01:22:52:00,51.1,10.4,35,0,0,0
01:01:22:57:00,50.8,10.7,35.58,0,0,0
01:01:23:02:00,50.6,11,36.17,0,0,0
01:01:23:07:00,50.3,11.3,36.75,0,0,0
01:01:23:12:00,50.1,11.5,37.33,0,0,0
01:01:23:17:00,49.8,11.8,37.92,0,0,0
01:01:23:22:00,49.5,12.1,38.5,0,0,0
01:01:23:27:00,49.3,12.4,39.08,0,0,0
01:01:23:32:00,49,12.7,39.67,0,0,0
01:01:23:37:00,48.8,13,40.25,0,0,0
01:01:23:42:00,48.5,13.2,40.83,0,0,0
01:01:23:47:00,48.3,13.5,41.42,0,0,0
01:01:23:52:00,48,13.8,42,0,0,0
01:01:23:57:00,47.8,13.6,41.58,0,0,0
01:02:00:02:00,47.7,13.4,41.17,0,0,0
01:02:00:07:00,47.5,13.2,40.75,0,0,0
01:02:00:12:00,47.3,13,40.33,0,0,0
01:02:00:17:00,47.2,12.8,39.92,0,0,0
01:02:00:22:00,47,12.6,39.5,0,0,0
01:02:00:27:00,46.8,12.5,39.08,0,0,0
01:02:00:32:00,46.7,12.3,38.67,0,0,0
01:02:00:37:00,46.5,12.1,38.25,0,0,0
01:02:00:42:00,46.3,11.9,37.83,0,0,0
01:02:00:47:00,46.2,11.7,37.42,0,0,0
01:02:00:52:00,46,11.5,37,0,0,0
01:02:00:57:00,45.8,11.5,37.5,0,0,0
01:02:01:02:00,45.7,11.5,38,0,0,0
01:02:01:07:00,45.5,11.5,38.5,0,0,0
01:02:01:12:00,45.4,11.5,39,0,0,0
01:02:01:17:00,45.2,11.5,39.5,0,0,0
01:02:01:22:00,45,11.5,40,0,0,0
01:02:01:27:00,44.9,11.5,40.5,0,0,0
01:02:01:32:00,44.7,11.5,41,0,0,0
01:02:01:37:00,44.6,11.5,41.5,0,0,0
01:02:01:42:00,44.4,11.5,42,0,0,0
01:02:01:47:00,44.3,11.5,42.5,0,0,0
01:02:01:52:00,44.1,11.5,43,0,0,0
01:02:01:57:00,44,11.2,43,0,0,0
01:02:02:02:00,43.9,10.9,43,0,0,0
01:02:02:07:00,43.8,10.6,43,0,0,0
01:02:02:12:00,43.7,10.4,43,0,0,0
01:02:02:17:00,43.6,10.1,43,0,0,0
01:02:02:22:00,43.5,9.8,43,0,0,0
01:02:02:27:00,43.5,9.5,43,0,0,0
01:02:02:32:00,43.4,9.2,43,0,0,0
01:02:02:37:00,43.3,8.9,43,0,0,0
01:02:02:42:00,43.2,8.7,43,0,0,0
01:02:02:47:00,43.1,8.4,43,0,0,0
01:02:02:52:00,43,8.1,43,0,0,0
01:02:02:57:00,42.9,8,42.75,0,0,0
01:02:03:02:00,42.8,7.9,42.5,0,0,0
01:02:03:07:00,42.8,7.8,42.25,0,0,0
01:02:03:12:00,42.7,7.7,42,0,0,0
01:02:03:17:00,42.6,7.6,41.75,0,0,0
01:02:03:22:00,42.5,7.5,41.5,0,0,0
01:02:03:27:00,42.5,7.4,41.25,0,0,0
01:02:03:32:00,42.4,7.3,41,0,0,0
01:02:03:37:00,42.3,7.2,40.75,0,0,0
01:02:03:42:00,42.2,7.1,40.5,0,0,0
01:02:03:47:00,42.2,7,40.25,0,0,0
01:02:03:52:00,42.1,6.9,40,0,0,0
01:02:03:57:00,41.9,6.8,40.08,0,0,0
01:02:04:02:00,41.7,6.7,40.17,0,0,0
01:02:04:07:00,41.5,6.6,40.25,0,0,0
01:02:04:12:00,41.4,6.5,40.33,0,0,0
01:02:04:17:00,41.2,6.4,40.42,0,0,0
01:02:04:22:00,41,6.3,40.5,0,0,0
01:02:04:27:00,40.8,6.3,40.58,0,0,0
01:02:04:32:00,40.6,6.2,40.67,0,0,0
01:02:04:37:00,40.4,6.1,40.75,0,0,0
01:02:04:42:00,40.3,6,40.83,0,0,0
01:02:04:47:00,40.1,5.9,40.92,0,0,0
01:02:04:52:00,39.9,5.8,41,0,0,0
01:02:04:57:00,39.7,5.7,41.33,0,0,0
01:02:05:02:00,39.6,5.6,41.67,0,0,0
01:02:05:07:00,39.4,5.5,42,0,0,0
01:02:05:12:00,39.2,5.4,42.33,0,0,0
01:02:05:17:00,39.1,5.3,42.67,0,0,0
01:02:05:22:00,38.9,5.2,43,0,0,0
01:02:05:27:00,38.7,5.1,43.33,0,0,0
01:02:05:32:00,38.6,5,43.67,0,0,0
01:02:05:37:00,38.4,4.9,44,0,0,0
01:02:05:42:00,38.2,4.8,44.33,0,0,0
01:02:05:47:00,38.1,4.7,44.67,0,0,0
01:02:05:52:00,37.9,4.6,45,0,0,0
01:02:05:57:00,37.7,4.6,45.58,0,0,0
01:02:06:02:00,37.4,4.6,46.17,0.75,0.05,0.1
01:02:06:07:00,37.2,4.6,46.75,2.64,0.17,0.36
01:02:06:12:00,37,4.6,47.33,4.53,0.29,0.62
01:02:06:17:00,36.7,4.6,47.92,6.41,0.41,0.88
01:02:06:22:00,36.5,4.6,48.5,8.3,0.54,1.14
01:02:06:27:00,36.3,4.6,49.08,10.18,0.66,1.4
01:02:06:32:00,36,4.6,49.67,12.07,0.78,1.66
01:02:06:37:00,35.8,4.6,50.25,13.96,0.9,1.92
01:02:06:42:00,35.6,4.6,50.83,15.84,1.02,2.19
01:02:06:47:00,35.3,4.6,51.42,17.73,1.15,2.45
01:02:06:52:00,35.1,4.6,52,19.61,1.27,2.71
01:02:06:57:00,35.3,4.5,51.5,21.5,1.39,2.97
01:02:07:02:00,35.4,4.4,51,24.01,1.55,3.67
01:02:07:07:00,35.6,4.3,50.5,27.47,1.76,5.06
01:02:07:12:00,35.7,4.2,50,30.92,1.97,6.44
01:02:07:17:00,35.9,4.1,49.5,34.38,2.18,7.82
01:02:07:22:00,36.1,4,49,37.83,2.39,9.2
01:02:07:27:00,36.2,4,48.5,41.29,2.6,10.58
01:02:07:32:00,36.4,3.9,48,44.74,2.82,11.97
01:02:07:37:00,36.5,3.8,47.5,48.2,3.03,13.35
01:02:07:42:00,36.7,3.7,47,51.65,3.24,14.73
01:02:07:47:00,36.8,3.6,46.5,55.11,3.45,16.11
01:02:07:52:00,37,3.5,46,58.56,3.66,17.49
01:02:07:57:00,37.2,3.6,45.33,62.02,3.87,18.88
01:02:08:02:00,37.5,3.7,44.67,64.63,4.06,20.34
01:02:08:07:00,37.7,3.8,44,65.97,4.2,21.94
01:02:08:12:00,38,3.9,43.33,67.31,4.35,23.53
01:02:08:17:00,38.2,4,42.67,68.65,4.5,25.12
01:02:08:22:00,38.5,4.1,42,69.99,4.64,26.72
01:02:08:27:00,38.7,4.1,41.33,71.33,4.79,28.31
01:02:08:32:00,38.9,4.2,40.67,72.67,4.94,29.9
01:02:08:37:00,39.2,4.3,40,74.01,5.08,31.49
01:02:08:42:00,39.4,4.4,39.33,75.36,5.23,33.09
01:02:08:47:00,39.7,4.5,38.67,76.7,5.37,34.68
01:02:08:52:00,39.9,4.6,38,78.04,5.52,36.27
01:02:08:57:00,40.2,4.9,37.42,79.38,5.67,37.87
01:02:09:02:00,40.4,5.2,36.83,80.43,5.8,39.35
01:02:09:07:00,40.7,5.5,36.25,81.04,5.91,40.68
01:02:09:12:00,40.9,5.8,35.67,81.65,6.03,42
01:02:09:17:00,41.2,6.1,35.08,82.26,6.14,43.33
01:02:09:22:00,41.5,6.4,34.5,82.87,6.26,44.65
01:02:09:27:00,41.7,6.6,33.92,83.48,6.37,45.98
01:02:09:32:00,42,6.9,33.33,84.09,6.48,47.3
01:02:09:37:00,42.2,7.2,32.75,84.7,6.6,48.63
01:02:09:42:00,42.5,7.5,32.17,85.31,6.71,49.95
01:02:09:47:00,42.7,7.8,31.58,85.92,6.82,51.28
01:02:09:52:00,43,8.1,31,86.53,6.94,52.6
01:02:09:57:00,43.1,8.3,30.83,87.13,7.05,53.93
01:02:10:02:00,43.3,8.5,30.67,87.62,7.15,55.08
01:02:10:07:00,43.4,8.7,30.5,87.91,7.21,55.96
01:02:10:12:00,43.5,8.9,30.33,88.2,7.28,56.85
01:02:10:17:00,43.7,9.1,30.17,88.5,7.34,57.74
01:02:10:22:00,43.8,9.3,30,88.79,7.41,58.62
01:02:10:27:00,43.9,9.4,29.83,89.08,7.47,59.51
01:02:10:32:00,44.1,9.6,29.67,89.37,7.54,60.4
01:02:10:37:00,44.2,9.8,29.5,89.67,7.6,61.28
01:02:10:42:00,44.3,10,29.33,89.96,7.67,62.17
01:02:10:47:00,44.5,10.2,29.17,90.25,7.73,63.05
01:02:10:52:00,44.6,10.4,29,90.54,7.8,63.94
01:02:10:57:00,44.7,10.1,29.08,90.84,7.86,64.83
01:02:11:02:00,44.8,9.8,29.17,91.05,7.91,65.5
01:02:11:07:00,45,9.5,29.25,91.16,7.94,65.85
01:02:11:12:00,45.1,9.2,29.33,91.27,7.96,66.2
01:02:11:17:00,45.2,8.9,29.42,91.37,7.98,66.55
01:02:11:22:00,45.3,8.6,29.5,91.48,8.01,66.9
01:02:11:27:00,45.4,8.4,29.58,91.58,8.03,67.24
01:02:11:32:00,45.5,8.1,29.67,91.69,8.06,67.59
01:02:11:37:00,45.7,7.8,29.75,91.79,8.08,67.94
01:02:11:42:00,45.8,7.5,29.83,91.9,8.11,68.29
01:02:11:47:00,45.9,7.2,29.92,92.01,8.13,68.64
01:02:11:52:00,46,6.9,30,92.11,8.15,68.99
01:02:11:57:00,46,6.8,29.67,91.45,8.25,69.05
01:02:12:02:00,46,6.7,29.33,90.72,8.32,68.89
